downtime_id,machine_code,started_at,ended_at,reason_code,note
DT-9157,MC-03,2026-08-03T06:13:00,2026-08-03T06:29:00,DT-BLD,Rework: blade seating
DT-9235,MC-04,2026-08-03T06:17:00,2026-08-03T07:37:00,DT-QAL,QA hold on lot
DT-9158,MC-03,2026-08-03T06:52:00,2026-08-03T07:35:00,DT-CHG,Product changeover
DT-9236,MC-04,2026-08-03T08:02:00,2026-08-03T08:28:00,DT-BRK,Tea break
DT-9159,MC-03,2026-08-03T08:08:00,2026-08-03T08:34:00,DT-CHG,Fixture swap for new model
DT-9085,MC-02,2026-08-03T08:56:00,2026-08-03T09:17:00,DT-CHG,Machine reset for changeover
DT-9237,MC-04,2026-08-03T09:23:00,2026-08-03T09:32:00,DT-MTR,Motor rework batch
DT-9238,MC-04,2026-08-03T11:46:00,2026-08-03T11:54:00,DT-QAL,Awaiting inspection sign-off
DT-9001,MC-01,2026-08-03T11:54:00,2026-08-03T12:31:00,DT-PMT,Torque gun calibration
DT-9160,MC-03,2026-08-03T12:02:00,2026-08-03T12:45:00,DT-BRK,Handover break
DT-9002,MC-01,2026-08-03T12:48:00,2026-08-03T12:55:00,DT-OPR,Operator shortage
DT-9161,MC-03,2026-08-03T13:06:00,2026-08-03T13:29:00,DT-BRK,Tea break
DT-9003,MC-01,2026-08-03T14:16:00,2026-08-03T14:42:00,DT-PMT,Conveyor lubrication
DT-9086,MC-02,2026-08-03T14:27:00,2026-08-03T15:07:00,DT-PMT,Torque gun calibration
DT-9162,MC-03,2026-08-03T14:29:00,2026-08-03T15:05:00,DT-PMT,Weekly PM
DT-9004,MC-01,2026-08-03T14:58:00,2026-08-03T15:32:00,DT-BRK,Shift break
DT-9087,MC-02,2026-08-03T15:22:00,2026-08-03T16:20:00,DT-PWR,Feeder trip
DT-9163,MC-03,2026-08-03T16:00:00,2026-08-03T17:12:00,DT-PWR,DG changeover
DT-9088,MC-02,2026-08-03T16:34:00,2026-08-03T17:45:00,DT-PCB,Firmware flash failures
DT-9005,MC-01,2026-08-03T16:50:00,2026-08-03T17:10:00,DT-CHG,Fixture swap for new model
DT-9006,MC-01,2026-08-03T17:13:00,2026-08-03T17:26:00,DT-BRK,Handover break
DT-9239,MC-04,2026-08-03T17:18:00,2026-08-03T17:26:00,DT-MTR,Motor RPM out of band
DT-9240,MC-04,2026-08-03T18:19:00,2026-08-03T18:38:00,DT-PWR,DG changeover
DT-9089,MC-02,2026-08-03T18:50:00,2026-08-03T19:33:00,DT-PMT,Weekly PM
DT-9007,MC-01,2026-08-03T19:03:00,2026-08-03T19:44:00,DT-CHG,Product changeover
DT-9164,MC-03,2026-08-03T19:41:00,2026-08-03T19:58:00,DT-BLD,Rework: blade seating
DT-9008,MC-01,2026-08-03T20:31:00,2026-08-03T20:56:00,DT-MTR,Motor rework batch
