order_no,sku_code,qty_planned,due_date,priority,status,machine_code
PO-2026-4101,AB-RNS-1200-WH,2400,2026-08-06,high,completed,MC-01
PO-2026-4102,AB-RNS-1200-WH,1500,2026-08-07,normal,completed,MC-01
PO-2026-4103,AB-RNP-1200-WH,1500,2026-08-07,low,completed,MC-01
PO-2026-4104,AB-RNP-1200-WH,1500,2026-08-09,normal,completed,MC-01
PO-2026-4105,AB-ARN-1200-GD,3000,2026-08-08,high,completed,MC-01
PO-2026-4106,AB-EFC-1200-WH,3000,2026-08-12,normal,completed,MC-01
PO-2026-4107,AB-RNS-1200-BR,2000,2026-08-13,high,completed,MC-01
PO-2026-4108,AB-EFC-1200-BK,1200,2026-08-14,high,completed,MC-01
PO-2026-4109,AB-RNS-1200-BR,2000,2026-08-18,high,completed,MC-01
PO-2026-4110,AB-RNS-1200-WH,1500,2026-08-17,high,completed,MC-01
PO-2026-4111,AB-STD-0900-WH,1800,2026-08-18,low,in_progress,MC-01
PO-2026-4112,AB-STD-0900-WH,1800,2026-08-18,normal,on_hold,MC-01
PO-2026-4113,AB-ARN-1200-GD,2000,2026-08-24,normal,cancelled,MC-01
PO-2026-4114,AB-RNP-1200-WH,1500,2026-08-22,low,released,MC-01
PO-2026-4115,AB-ARN-1200-GD,2400,2026-08-07,normal,completed,MC-02
PO-2026-4116,AB-STD-0900-WH,1500,2026-08-07,low,completed,MC-02
PO-2026-4117,AB-EFA-1400-WH,3000,2026-08-10,normal,completed,MC-02
PO-2026-4118,AB-EFC-1200-WH,900,2026-08-09,high,completed,MC-02
PO-2026-4119,AB-STD-0900-WH,2600,2026-08-13,normal,completed,MC-02
PO-2026-4120,AB-EFA-1400-WH,900,2026-08-14,normal,completed,MC-02
PO-2026-4121,AB-EFC-1200-BK,1800,2026-08-13,low,completed,MC-02
PO-2026-4122,AB-STD-0900-WH,2600,2026-08-15,high,completed,MC-02
PO-2026-4123,AB-EFA-1400-WH,2000,2026-08-15,normal,completed,MC-02
PO-2026-4124,AB-EFA-1400-WH,1500,2026-08-16,normal,completed,MC-02
PO-2026-4125,AB-RNP-1200-WH,3000,2026-08-20,normal,in_progress,MC-02
PO-2026-4126,AB-STD-0900-WH,2600,2026-08-29,normal,planned,MC-02
