event_id,machine_code,order_no,completed_at,serial_no
5a20f13579ba,MC-03,PO-2026-4129,2026-08-03T06:00:25,AB-STD-0900-WH-006791
6c7fd7157e51,MC-04,PO-2026-4143,2026-08-03T06:00:27,AB-STD-0900-WH-010091
58ea0bc5eff7,MC-01,PO-2026-4101,2026-08-03T06:00:27,AB-RNS-1200-WH-000001
67b7c73fb653,MC-03,PO-2026-4129,2026-08-03T06:00:49,AB-STD-0900-WH-006792
c61c339c1672,MC-04,PO-2026-4143,2026-08-03T06:00:51,AB-STD-0900-WH-010092
11a24780b96f,MC-02,PO-2026-4115,2026-08-03T06:00:54,AB-ARN-1200-GD-003001
9cdf07b1e4e4,MC-01,PO-2026-4101,2026-08-03T06:00:58,AB-RNS-1200-WH-000002
5ed0b1b15001,MC-04,PO-2026-4143,2026-08-03T06:01:13,AB-STD-0900-WH-010093
e04dfaa7a574,MC-03,PO-2026-4129,2026-08-03T06:01:13,AB-STD-0900-WH-006793
3806f2847d4b,MC-01,PO-2026-4101,2026-08-03T06:01:32,AB-RNS-1200-WH-000003
5ea2e154755f,MC-04,PO-2026-4143,2026-08-03T06:01:39,AB-STD-0900-WH-010094
ad41508bd9f9,MC-03,PO-2026-4129,2026-08-03T06:01:40,AB-STD-0900-WH-006794
7e781db3589e,MC-02,PO-2026-4115,2026-08-03T06:01:44,AB-ARN-1200-GD-003002
b1025a3fd5c0,MC-01,PO-2026-4101,2026-08-03T06:02:05,AB-RNS-1200-WH-000004
49640686b808,MC-04,PO-2026-4143,2026-08-03T06:02:07,AB-STD-0900-WH-010095
cf730848eb08,MC-03,PO-2026-4129,2026-08-03T06:02:09,AB-STD-0900-WH-006795
4b3b990c994d,MC-04,PO-2026-4143,2026-08-03T06:02:31,AB-STD-0900-WH-010096
e8fa6acce79f,MC-03,PO-2026-4129,2026-08-03T06:02:32,AB-STD-0900-WH-006796
ffabf285bc56,MC-02,PO-2026-4115,2026-08-03T06:02:36,AB-ARN-1200-GD-003003
b77516946bb0,MC-01,PO-2026-4101,2026-08-03T06:02:42,AB-RNS-1200-WH-000005
00e62d6f0b31,MC-04,PO-2026-4143,2026-08-03T06:02:54,AB-STD-0900-WH-010097
8520e498a4a7,MC-03,PO-2026-4129,2026-08-03T06:02:58,AB-STD-0900-WH-006797
0c54963da851,MC-01,PO-2026-4101,2026-08-03T06:03:18,AB-RNS-1200-WH-000006
d27033fa6bbf,MC-03,PO-2026-4129,2026-08-03T06:03:19,AB-STD-0900-WH-006798
7ee0609fb54d,MC-04,PO-2026-4143,2026-08-03T06:03:22,AB-STD-0900-WH-010098
2fb4f59594bc,MC-02,PO-2026-4115,2026-08-03T06:03:23,AB-ARN-1200-GD-003004
a87a7d8fd865,MC-03,PO-2026-4129,2026-08-03T06:03:45,AB-STD-0900-WH-006799
3c2b59a48966,MC-01,PO-2026-4101,2026-08-03T06:03:46,AB-RNS-1200-WH-000007
c867ecccc82d,MC-04,PO-2026-4143,2026-08-03T06:03:47,AB-STD-0900-WH-010099
b2fb56cef25c,MC-03,PO-2026-4129,2026-08-03T06:04:11,AB-STD-0900-WH-006800
f62c374ded74,MC-02,PO-2026-4115,2026-08-03T06:04:13,AB-ARN-1200-GD-003005
bb072ed903ba,MC-04,PO-2026-4143,2026-08-03T06:04:15,AB-STD-0900-WH-010100
